Time Period,Measure Type,Measure,Group,Subgroup,Estimate Type,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Reliable
Jan.-Jun. 2022,Diagnosis Chapter,All visits,Total,All visits,Visit count,54013000,9564000,35267000,72759000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,Total,All visits,"Visit rate (per 1,000 people)",165.1,29.2,107.8,222.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By age,0-17 years old,Visit count,9568000,1869000,5905000,13231000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By age,0-17 years old,"Visit rate (per 1,000 people)",130.3,25.5,80.4,180.2,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By age,18-44 years old,Visit count,19253000,3346000,12696000,25811000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By age,18-44 years old,"Visit rate (per 1,000 people)",165.6,28.8,109.2,222,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By age,45-64 years old,Visit count,16504000,3069000,10488000,22519000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By age,45-64 years old,"Visit rate (per 1,000 people)",199.4,37.1,126.7,272.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By age,65+ years old,Visit count,8688000,1953000,4861000,12515000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By age,65+ years old,"Visit rate (per 1,000 people)",158.8,35.7,88.8,228.8,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"Black, non-Hispanic",Visit count,8775000,3038000,2821000,14730000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",216,74.1,70.7,361.3,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By race/ethnicity,Hispanic,Visit count,18620000,5187000,8453000,28786000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",300.3,82.4,138.7,461.8,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"Other, non-Hispanic",Visit count,2624000,953000,756000,4491000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",86.4,31.1,25.4,147.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"White, non-Hispanic",Visit count,19025000,3698000,11778000,26273000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",98,18.3,62.2,133.8,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By sex,Female,Visit count,33576000,6088000,21643000,45508000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By sex,Female,"Visit rate (per 1,000 people)",202,36.6,130.2,273.8,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By sex,Male,Visit count,20397000,3519000,13499000,27295000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,All visits,By sex,Male,"Visit rate (per 1,000 people)",126.7,21.9,83.9,169.6,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,Total,All visits,Visit count,2375000,420000,1553000,3197000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,Total,All visits,"Visit rate (per 1,000 people)",7.3,1.3,4.7,9.8,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,0-17 years old,Visit count,320000,63000,196000,443000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,0-17 years old,"Visit rate (per 1,000 people)",4.4,0.9,2.7,6,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,18-44 years old,Visit count,1029000,200000,637000,1421000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,18-44 years old,"Visit rate (per 1,000 people)",8.9,1.7,5.5,12.2,Yes
