,accessLevel,landingPage,bureauCode,issued,@type,modified,keyword,identifier,description,title,programCode,distribution,theme,contactPoint.@type,contactPoint.fn,contactPoint.hasEmail,publisher.@type,publisher.name,temporal,license,spatial,accrualPeriodicity,language,references,describedBy,rights,isPartOf,describedByType,systemOfRecords
0,public,https://data.cdc.gov/d/23gt-ssfe,['009:00'],18-01-2019,dcat:Dataset,18-01-2019,"['2014', 'invasive pneumococcal disease', 'legionellosis', 'mmwr', 'nedss', 'netss', 'nndss', 'wonder']",https://data.cdc.gov/api/views/23gt-ssfe,"NNDSS - Table II. Invasive Pneumococcal to Legionellosis - 2014.In this Table, all conditions with a 5-year average annual national total of more than or equals 1,000 cases but less than or equals 10,000 cases will be displayed (��� 1,000 and ��_ 10,000). The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data.  Data on United States exclude counts from US territories. Note:These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable.    -: No reported cases.    N: Not reportable.    NN: Not Nationally Notifiable    Cum: Cumulative year-to-date counts.    Med: Median.    Max: Maximum. * Case counts for reporting years 2013 and 2014 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. Data for TB are displayed in Table IV, which appears quarterly. ��� Includes drug resistant and susceptible cases of Invasive Pneumococcal Disease. This condition was previously named Streptococcus pneumoniae invasive disease and cases were reported to CDC using different event codes to specify whether the cases were drug resistant or in a defined age group, such as < 5 years. Since 2010, case notifications for this condition were consolidated under one event code for Invasive pneumococcal disease.More information on NNDSS is available at http://wwwn.cdc.gov/nndss/.",NNDSS - Table II. Invasive Pneumococcal to Legionellosis,['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/23gt-ssfe/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/23gt-ssfe/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/23gt-ssfe/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/23gt-ssfe/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/23gt-ssfe/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/23gt-ssfe/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/23gt-ssfe/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NNDSS'],vcard:Contact,CDC INFO,mailto:cdcinfo@cdc.gov,org:Organization,data.cdc.gov,,,,,,,,,,,
1,public,https://data.cdc.gov/d/247v-f7n9,['009:00'],21-01-2020,dcat:Dataset,07-01-2021,"['2020', 'nedss', 'netss', 'nndss', 'paralytic', 'pertussis', 'plague', 'poliomyelitis', 'wonder']",https://data.cdc.gov/api/views/247v-f7n9,"NNDSS - TABLE 1Z. Pertussis to Poliomyelitis, paralytic - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents.

Notice: Data from California published in week 29 for years 2019 and 2020 were incomplete when originally published on July 24, 2020. On August 4, 2020, incomplete case counts were replaced with a ""U"" indicating case counts are not available for specified time period. 

Note: 
This table contains provisional cases of national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. 

Footnotes:
U: Unavailable — The reporting jurisdiction was unable to send the data to CDC or CDC was unable to process the data.
-: No reported cases — The reporting jurisdiction did not submit any cases to CDC.
N: Not reportable — The disease or condition was not reportable by law, statute, or regulation in the reporting jurisdiction.
NN: Not nationally notifiable — This condition was not designated as being nationally notifiable.
NP: Nationally notifiable but not published.
NC: Not calculated — There is insufficient data available to support the calculation of this statistic.
Cum: Cumulative year-to-date counts.
Max: Maximum — Maximum case count during the previous 52 weeks.
* Case counts for reporting years 2019 and 2020 are provisional and subject to change. Cases are assigned to the reporting jurisdiction submitting the case to NNDSS, if the case's country of usual residence is the U.S., a U.S. territory, unknown, or null (i.e. country not reported); otherwise, the case is assigned to the 'Non-U.S. Residents' category. Country of usual residence is currently not reported by all jurisdictions or for all conditions. For further information on interpretation of these data, see https://wwwn.cdc.gov/nndss/document/Users_guide_WONDER_tables_cleared_final.pdf.
†Previous 52 week maximum and cumulative YTD are determined from periods of time when the condition was reportable in the jurisdiction (i.e., may be less than 52 weeks of data or incomplete YTD data). 
§ The pertussis case definition was modified by CSTE effective January 1, 2020. Criteria were modified increasing sensitivity for case ascertainment such that case counts may increase.","NNDSS - TABLE 1Z. Pertussis to Poliomyelitis, paralytic",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/247v-f7n9/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/247v-f7n9/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/247v-f7n9/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/247v-f7n9/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/247v-f7n9/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/247v-f7n9/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/247v-f7n9/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NNDSS'],vcard:Contact,CDC INFO,mailto:cdcinfo@cdc.gov,org:Organization,data.cdc.gov,,,,,,,,,,,
2,public,https://data.cdc.gov/d/24xb-jxbc,,24-07-2024,dcat:Dataset,24-07-2024,,https://data.cdc.gov/api/views/24xb-jxbc,,dhds_dataset,,"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/24xb-jxbc/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/24xb-jxbc/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/24xb-jxbc/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/24xb-jxbc/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/24xb-jxbc/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/24xb-jxbc/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/24xb-jxbc/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",,vcard:Contact,Disability and Health Data System (CDC),mailto:no-reply@data.cdc.gov,org:Organization,data.cdc.gov,,,,,,,,,,,
3,public,https://www.cdc.gov/nchs/nhis/index.htm,['009:20'],17-11-2021,dcat:Dataset,22-07-2024,"['nhis', 'sdoh-access-to-health-care', 'sdoh-employment', 'sdoh-food-access', 'sdoh-food-insecurity', 'sdoh-higher-education', 'sdoh-high-school', 'sdoh-housing-stability', 'sdoh-poverty-income', 'sdoh-source-of-health-care', 'sdoh-use-of-health-care', 'sdoh-workplace', 'summary health statistics']",https://data.cdc.gov/api/views/25m4-6qqq,Interactive Summary Health Statistics for Adults provide annual estimates of selected health topics for adults aged 18 years and over based on final data from the National Health Interview Survey.,NHIS Adult Summary Health Statistics,['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/25m4-6qqq/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/25m4-6qqq/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/25m4-6qqq/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/25m4-6qqq/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/25m4-6qqq/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/25m4-6qqq/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/25m4-6qqq/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],vcard:Contact,National Center for Health Statistics,mailto:cdcinfo@cdc.gov,org:Organization,National Center for Health Statistics,2019/2023,https://www.usa.gov/government-works,,,,,,,,,
4,public,https://data.cdc.gov/d/26a7-nc4u,['009:00'],14-09-2016,dcat:Dataset,14-09-2016,"['cdc', 'centers for disease control and prevention']",https://data.cdc.gov/api/views/26a7-nc4u,"Source for 2012 national data: National Occupant Protection Use Survey (NOPUS), 2012. Source for 2014 national data: National Occupant Protection Use Survey (NOPUS), 2014.  Source for 2012 state data: State Observational Survey of Seat Belt Use, 2012. Source for 2014 state data: Seat Belt Use in 2014- Use Rates in the States and Territories","Percentage of Drivers and Front Seat Passengers Wearing Seat Belts, 2012 & 2014, Region 5 - Chicago",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/26a7-nc4u/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/26a7-nc4u/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/26a7-nc4u/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/26a7-nc4u/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/26a7-nc4u/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/26a7-nc4u/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/26a7-nc4u/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['Motor Vehicle'],vcard:Contact,CDC INFO,mailto:cdcinfo@cdc.gov,org:Organization,data.cdc.gov,,,,,,,,,,,
5,public,https://data.cdc.gov/d/275g-9x8h,['009:20'],08-02-2023,dcat:Dataset,12-06-2024,"['coronavirus', 'covid-19', 'otc', 'self-tests']",https://data.cdc.gov/api/views/275g-9x8h,"This dataset includes COVID-19 self-test result data voluntarily reported by users of tests through manufacturer websites and mobile companion applications. At this time, the dataset does not include data reported through the MakeMyTestCount website. All fields are self-reported by the user voluntarily reporting the test result. This dataset will be updated monthly.

Please note that there are limitations with these data, including:
1.	Data are not comprehensive of all self-tests performed. Data represent results voluntarily reported by an individual via manufacturer-provided website or companion mobile applications. Not all self-test manufacturers are currently capturing and sending data to CDC. Similarly, these data do not include self-test results that were reported to state and local health departments if they were not also reported through the manufacturer-provided website or companion mobile applications. The true denominator (number of tests completed) cannot be ascertained, but based on manufacturer production numbers, this dataset reflects a small fraction of the number of self-tests used.   

2.	Data are not verified. The quality of specimen, appropriate execution of self-test, result produced, and person tested are unverified; therefore, reported interpretation of results cannot be confirmed. All results and accompanying demographic information are also self-reported and cannot be verified. 

3.	Data reports are not complete. Manufacturer-provided websites and companion mobile applications vary widely in terms of the data elements collected. Not all data elements are required, and many results are missing demographic information. 

4.	Data are not representative. Based on the limited number of self-reported test results, this dataset is not representative of the use of self-testing by demographic, nor is the dataset inclusive of all self-testing completed within each jurisdiction. This dataset represents a small proportion of overall COVID-19 testing conducted in each jurisdiction and reported volumes are much lower than testing conducted in point of care and laboratory settings.  

5.	Data represent individual test results, not persons tested. Data in this dataset are not linkable and do not allow for analyses around serial testing. Data also cannot be disaggregated to identify multiple reports by the same individual. 

All analyses should be completed with these limitations in mind.

For more information about the challenges and opportunities around self-test data, please refer to the following article: Ritchey MD, Rosenblum HG, Del Guercio K, et al. COVID-19 Self-Test Data: Challenges and Opportunities — United States, October 31, 2021–June 11, 2022. MMWR Morb Mortal Wkly Rep 2022;71:1005–1010. DOI: http://dx.doi.org/10.15585/mmwr.mm7132a1",U.S. COVID-19 Self-Test Data,['009:038'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/275g-9x8h/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/275g-9x8h/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/275g-9x8h/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/275g-9x8h/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/275g-9x8h/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/275g-9x8h/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/275g-9x8h/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['Public Health Surveillance'],vcard:Contact,Jasmine Chaitram,mailto:zoa6@cdc.gov,org:Organization,Laboratory Data Section,2021-10-01/2023-11-10,https://www.usa.gov/government-works,US,R/P1M,['en-US'],,,,,,
6,public,https://www.cdc.gov/nchs/nhanes/visualization/index.htm,['009:20'],16-12-2020,dcat:Dataset,08-09-2023,"['high cholesterol', 'hypertension', 'nhanes', 'obesity']",https://data.cdc.gov/api/views/28df-2bwy,"This data represents the age-adjusted prevalence of high total cholesterol, hypertension, and obesity among US adults aged 20 and over between 1999-2000 to 2017-2018.


Notes:

* All estimates are age adjusted by the direct method to the U.S. Census 2000 population using age groups 20–39, 40–59, and 60 and over.


Definitions

Hypertension: Systolic blood pressure greater than or equal to 130 mmHg or diastolic blood pressure greater than or equal to 80 mmHg, or currently taking medication to lower high blood pressure

High total cholesterol: Serum total cholesterol greater than or equal to 240 mg/dL.

Obesity: Body mass index (BMI, weight in kilograms divided by height in meters squared) greater than or equal to 30.


Data Source and Methods

Data from the National Health and Nutrition Examination Surveys (NHANES) for the years 1999–2000, 2001–2002, 2003–2004, 2005–2006, 2007–2008, 2009–2010, 2011–2012, 2013–2014, 2015–2016, and 2017–2018 were used for these analyses.

NHANES is a cross-sectional survey designed to monitor the health and nutritional status of the civilian noninstitutionalized U.S. population. The survey consists of interviews conducted in participants’ homes and standardized physical examinations, including a blood draw, conducted in mobile examination centers.","Prevalence of Selected Measures Among Adults Aged 20 and Over: United States, 1999-2000 through 2017-2018",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/28df-2bwy/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/28df-2bwy/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/28df-2bwy/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/28df-2bwy/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/28df-2bwy/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/28df-2bwy/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/28df-2bwy/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],vcard:Contact,National Center for Health Statistics,mailto:cdcinfo@cdc.gov,org:Organization,National Center for Health Statistics,1999/2018,https://www.usa.gov/government-works,,irregular,,,,,,,
7,public,https://data.cdc.gov/d/28km-nz6e,['009:00'],14-09-2016,dcat:Dataset,14-09-2016,"['cdc', 'centers for disease control and prevention']",https://data.cdc.gov/api/views/28km-nz6e,"Rate of deaths by age/gender (per 100,000 population) for people killed in crashes involving a driver with BAC =>0.08%, 2012, 2014. 2012 Source: Fatality Analysis Reporting System (FARS). 2014 Source: National Highway Traffic Administration's (NHTSA) Fatality Analysis Reporting System (FARS), 2014 Annual Report File. Note: Blank cells indicate data are suppressed. Fatality rates based on fewer than 20 deaths are suppressed.","Impaired Driving Death Rate, by Age and Gender, 2012 & 2014, Region 4 - Atlanta",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/28km-nz6e/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/28km-nz6e/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/28km-nz6e/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/28km-nz6e/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/28km-nz6e/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/28km-nz6e/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/28km-nz6e/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['Motor Vehicle'],vcard:Contact,CDC INFO,mailto:cdcinfo@cdc.gov,org:Organization,data.cdc.gov,,,,,,,,,,,
8,public,https://data.cdc.gov/d/2993-4v7d,['009:00'],26-04-2019,dcat:Dataset,30-05-2019,"['2019', 'nedss', 'netss', 'nndss', 'tetanus', 'toxic shock syndrome (other than streptococcal)', 'trichinellosis', 'wonder']",https://data.cdc.gov/api/views/2993-4v7d,"NNDSS - TABLE 1II. Tetanus to Trichinellosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. 

Note: 
This table contains provisional cases of national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. 

Footnotes:
U: Unavailable — The reporting jurisdiction was unable to send the data to CDC or CDC was unable to process the data.
-: No reported cases — The reporting jurisdiction did not submit any cases to CDC.
N: Not reportable — The disease or condition was not reportable by law, statute, or regulation in the reporting jurisdiction.
NN: Not nationally notifiable — This condition was not designated as being nationally notifiable.
NP: Nationally notifiable but not published — CDC does not have data because of changes in how conditions are categorized.
Cum: Cumulative year-to-date counts.
Max: Maximum — Maximum case count during the previous 52 weeks.
* Case counts for reporting years 2018 and 2019 are provisional and subject to change. Cases are assigned to the reporting jurisdiction submitting the case to NNDSS, if the case's country of usual residence is the US, a US territory, unknown, or null (i.e. country not reported); otherwise, the case is assigned to the 'Non-US Residents' category. For further information on interpretation of these data, see https://wwwn.cdc.gov/nndss/document/Users_guide_WONDER_tables_cleared_final.pdf. 
† Previous 52 week maximum and cumulative YTD are determined from periods of time when the condition was reportable in the jurisdiction (i.e., may be less than 52 weeks of data or incomplete YTD data).",NNDSS - TABLE 1II. Tetanus to Trichinellosis,['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/2993-4v7d/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/2993-4v7d/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2993-4v7d/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/2993-4v7d/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2993-4v7d/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/2993-4v7d/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2993-4v7d/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NNDSS'],vcard:Contact,CDC INFO,mailto:cdcinfo@cdc.gov,org:Organization,data.cdc.gov,,,,,,,,,,,
9,public,https://data.cdc.gov/d/29ew-qk7z,['009:00'],18-10-2016,dcat:Dataset,18-10-2016,"['cdc', 'centers for disease control and prevention']",https://data.cdc.gov/api/views/29ew-qk7z,"Rate of deaths by age/gender (per 100,000 population) for motor vehicle occupants killed in crashes, 2012 & 2014. 2012 Source: Fatality Analysis Reporting System (FARS). 2014 Source: National Highway Traffic Safety Administration's (NHTSA) Fatality Analysis Reporting System (FARS), 2014 Annual Report File Note: Blank cells indicate data are suppressed. Fatality rates based on fewer than 20 deaths are suppressed.","Motor Vehicle Occupant Death Rate, by Age and Gender, 2012 & 2014, Region 3 - Philadelphia",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/29ew-qk7z/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/29ew-qk7z/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/29ew-qk7z/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/29ew-qk7z/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/29ew-qk7z/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/29ew-qk7z/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/29ew-qk7z/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['Motor Vehicle'],vcard:Contact,CDC INFO,mailto:cdcinfo@cdc.gov,org:Organization,data.cdc.gov,,,,,,,,,,,
